id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,number_of_listings
6.52926E+17,Bright warm large 4 bedroom home with backyard,465068018,Kelley,,Oakridge,43.69776,-79.27238,Entire home/apt,155,28,9,2024-11-02,0.33,1,132,5,,1
6.52983E+17,lovely 1-bedroom home with one free parking.,465082428,Reza,,Newtonbrook West,43.78033,-79.43172,Entire home/apt,129,7,3,2024-10-21,0.12,1,35,2,STR-2206-GSLKVG,1
6.53031E+17,Cosy and modern 1-bedroom basement suite,73893904,Jon,,Dovercourt-Wallace Emerson-Junction,43.66906,-79.43483,Entire home/apt,91,28,7,2024-08-06,0.26,1,318,1,,1
6.53052E+17,Stunning 5 Star Victorian in Leslieville,16307377,Andrea,,South Riverdale,43.6666805,-79.3461706,Entire home/apt,,28,2,2023-01-04,0.07,1,0,0,STR-2206-JDGRVM,1
6.53491E+17,Bright & Modern Condo on Trendy Queen West,47994751,Penny,,Waterfront Communities-The Island,43.64609885,-79.40229434,Entire home/apt,145,28,1,2023-10-13,0.08,1,215,0,STR-2309-GWTKVV,1
6.28971E+17,Spacious & Cozy DT Condo - entire apartment,364841582,Zheng,,Waterfront Communities-The Island,43.641319,-79.400116,Private room,174,1,161,2024-11-05,5.57,1,328,54,STR-2205-FZZPHD,1
6.29102E+17,1bdrm+den Sleeps 4/ Parking/ Rogers CTN/ CN Tower,846505,Julie,,Waterfront Communities-The Island,43.63962,-79.39652,Entire home/apt,249,1,69,2024-10-25,2.32,52,82,27,STR-2205-HQBVHK,52
6.29124E+17,Mammoth Hall 1+1 Unit,25278998,KTC Property Management Ltd.,,Malvern,43.80172,-79.22816,Entire home/apt,100,31,5,2023-04-01,0.18,16,45,0,,16
6.29555E+17,Gigantic 2 Bedroom Bay St. Condo 2 large balconies,55442,Furnished Condo Toronto,,Bay Street Corridor,43.6586,-79.38634,Entire home/apt,577,28,1,2022-06-30,0.03,22,89,0,,22
6.29567E+17,Home In Toronto with backyard oasis - West End,46258039,Shira,,Alderwood,43.60551372,-79.53963066,Entire home/apt,175,28,0,,,1,90,0,STR-2408-JGQLBZ,1
6.29648E+17,Cozy beautiful room in Toronto near TTC/subway/bus,272046245,Naira,,Wexford/Maryvale,43.74636,-79.30822,Private room,22,30,0,,,17,311,0,,17
6.29671E+17,"Perfect for Professionals; Modern Condo, Fast WiFi",135733107,Megan,,Moss Park,43.65188,-79.36732,Entire home/apt,199,28,19,2024-07-05,0.85,1,154,6,STR-2211-FHRKVB,1
6.29687E+17,Toronto Beaches Rooftop  Apt,350008652,Ellen,,East End-Danforth,43.68099,-79.28951,Entire home/apt,119,28,0,,,1,362,0,,1
6.29823E+17,Luxury Downtown Condo With City & Lake Views!,440060518,Lilly,,Waterfront Communities-The Island,43.64654,-79.36853,Entire home/apt,250,28,5,2022-12-10,0.21,1,365,0,STR-2210-GQDKVG,1
6.29939E+17,Cozy vacation+1 min walk to ttc public transport,438638719,Rebeka,,Oakridge,43.69638,-79.27313,Private room,100,1,211,2024-10-21,8.06,2,353,62,STR-2208-FZRHHD,2
6.29947E+17,Downtown private washroom /basement/B03,457676150,Guangrong,,Trinity-Bellwoods,43.650318,-79.406227,Private room,80,28,8,2024-04-30,0.28,8,41,3,,8
6.30221E+17,Bright and Spacious Apartment in Lower Cabbagetown,118876548,Katie,,Moss Park,43.65834,-79.36643,Entire home/apt,,28,25,2023-04-27,0.9,1,0,0,STR-2206-JBZRVM,1
6.30387E+17,New Condo - Yonge & Richmond Downtown Toronto,339842916,Olu,,Church-Yonge Corridor,43.65081,-79.37771,Entire home/apt,106,29,1,2022-10-02,0.04,19,365,0,,19
6.30397E+17,Welcome to nice place for renting out . Awesome.,440521256,Sophia,,Kensington-Chinatown,43.648239,-79.403732,Private room,115,28,2,2022-11-01,0.08,2,90,0,,2
6.30403E+17,Awesome place to look excellent people’s,440521256,Sophia,,Waterfront Communities-The Island,43.63977,-79.39811,Entire home/apt,187,28,0,,,2,365,0,,2
6.30635E+17,Comfortable and Spacious Entire walkout Apartment,111443841,Jeongok,,Hillcrest Village,43.80185,-79.36641,Private room,139,2,52,2024-10-20,1.82,2,87,17,STR-2010-GMKRVG,2
6.30723E+17,Spacious Room with King size Bed & Ensuite Toilet,433194730,Cynthia Chinwe,,Black Creek,43.758453,-79.516647,Private room,95,1,24,2024-09-01,0.85,3,365,7,STR-2202-HKMKVK,3
6.3097E+17,"Cheerful, modern room, lower level of house, 1Prk.",457168439,Demetri,,Birchcliffe-Cliffside,43.70755,-79.25412,Private room,62,60,0,,,7,316,0,,7
6.31065E+17,Gorgeous Luxury Fully Renovated Home/Modern Style,64707091,Merad,,Bayview Village,43.774601,-79.387009,Entire home/apt,279,28,7,2024-03-28,0.24,6,191,1,,6
